Cu	301.2775,165.5318,328.2716,160.5776,339.6324,314.2444,800.621,365.5859,406.3238,301.2005,341.3343,452.5112
Y	438.7738,301.8952,665.0601,452.2029
Zr	468.780,366.365,402.398,709.770,731.808,705.736,535.090,457.552,645.162,392.179
Th	366.9968,650.1992,408.5434,350.6645,862.1325,423.5463,605.3381,655.4160,741.8550,8542.14,974.646
I	5242.360,866.493,2401.195,206.1633,602.408,2896.456,135.5099,121.8411
P	932.350,5659.15,2809.623,551.4774,6987.27,9510.71,671.7411,975.077
Gd	396.628,448.470,525.118,430.929,515.848,879.576,696.433,468.812
As	197.262,926.728,959.795,506.898,234.984,514.163,245.653,274.500
Na	32.157,32.5403,32.313,32.864,8783.82,8933.95,434.1489,32.762,32.676
Mn	307.313,279.108,423.529,694.252,269.266
Xe	3973.57,6484.15,491.6507,2045.01,366.991,631.497,557.527
